### NOTICE: this file is based on "sites_substructures.smarts" file
### * 2022-07-15 - compressed imidazole smarts 
###              - split amines into primary, secondary, tertiary
###              - change carboxylic acid value to ACDlab prediction
###              - added mono- and di-halogenated phenols
### * 2022-07-11 - added smarts patters to match tetrazole, substituted phenol, 
###                substituted imidazoles, pyridines. Use pKa values predicted by 
###                ACDlabs GALAS method.
###              - fixed most of smarts patters such that they explicit hydrogens 
###                compressed to heavy atom definition. Otherwise match did not work.
###              - removed very generic definitions, like, aromatic N deprotonated
###                as they hit too many unwanted structures.
### * 2020-09-11 added last column with acid-base classification.

#name SMARTS atom_idx pka pka_std dissociation_type ... (repeat last 4 for the next ionization centre)

# 1,2-diOH-benzene
12-diOH-Phenol [OH1][c]1[c](-[O])[c][c][c][c]1  1  9.3  0.4 acid 4 13.0 0.4 acid 
13-diOH-Phenol [OH1][c]1[c][c](-[O])[c][c][c]1  1  8.9  0.4 acid 5 11.3 0.5 acid
14-diOH-Phenol [OH1][c]1[c][c][c](-[O])[c][c]1  1  9.6  0.4 acid 6 11.5 0.5 acid

# 2-NO2-Phe
2-NO2-Phenol [OH1][c]1[c](-[N](=[O])[O])[c][c][c][c]1  1  7.2  0.4 acid

# monohalogentaed phenols in 2 position
2-Hal-Phenol [OH1:1][c:2]1[$(c-[F,Cl,Br,I]):3][c:4][c:5][c:6][cH1,!$(c-[F,Cl,Br,I]):7]1 1 8.3 0.4 acid

# di-halogented phenols in 2,5 positions
2-Hal-Phenol [OH1:1][c:2]1[$(c-[F,Cl,Br,I]):3][c:4][c:5][c:6][$(c-[F,Cl,Br,I]):7]1 1 6.6 0.4 acid

# Tyrosine-like phenol
Phenol [OH1:1][c:2]1[c:3][c:4][c:5][c:6][c:7]1  1  9.7  0.4 acid
#Phenol	[c,n,o:1]-[OH1:2]	1	7.065359866910526	3.277356122295936  acid

# 2F-imidazole
2F-Imidazole [nH1,$(n-[#6])]1[c](-[F])[nH0][c][cH1,$(c-[#6])]1      5 3.6 0.4 base   1 10.9 0.4 acid
2F-Imidazole [nH1,$(n-[#6])]1[c](-[F])[nH0][cH1,$(c-[#6])][c]1      5 3.6 0.4 base   1 10.9 0.4 acid

# Ionizable imidazole including substitutions. Not allowing fsed rings like benzimidazole. 
Imidazole [nH1,$(n-[#6])]1[c][nH0][c][cH1,$(c-[#6])]1      4 6.8 0.6 base 
Imidazole [nH1,$(n-[#6])]1[c][nH0][cH1,$(c-[#6])][c]1      4 6.8 0.6 base 

# Ionizable pyridine including substitutions
Pyridine  [nX2:1]1[c:2][c:3][c:4][c:5][c:6]1 1 4.9 0.1 base

# multiple entries for tetrazole tautomers and ionization states
Tetrazole  [nH1r5:1][nH0r5:2][nH0r5:3][nH0r5:4][cH0r5:5]  1   5.3 0.4 acid
Tetrazole  [nH1r5:1][nH0r5:2][cH0r5:3][nH0r5:4][nH0r5:5]  1   5.3 0.4 acid

Azide	[N+0:1]=[N+:2]=[N+0H1:3]	2	4.65	0.07    acid
